timetable_id,train_id,station_id,scheduled_arrival,scheduled_departure,scheduled_platform,scheduled_track,dwell_seconds
TT001,T001,vasai_road,2026-08-17T08:35:00+00:00,2026-08-17T08:36:00+00:00,vasai_p2,t_vasai_nalla,60
TT002,T002,vasai_road,2026-08-17T08:42:00+00:00,2026-08-17T08:43:00+00:00,vasai_p3,t_bhayandar_vasai,60
TT003,T003,vasai_road,2026-08-17T08:50:00+00:00,2026-08-17T08:51:00+00:00,vasai_p2,t_vasai_nalla,60
TT004,T004,vasai_road,2026-08-17T08:58:00+00:00,2026-08-17T08:59:00+00:00,vasai_p3,t_bhayandar_vasai,60
TT005,T005,vasai_road,2026-08-17T09:06:00+00:00,2026-08-17T09:07:00+00:00,vasai_p2,t_vasai_nalla,60
TT006,T006,vasai_road,2026-08-17T08:38:00+00:00,2026-08-17T08:39:00+00:00,vasai_p4,t_vasai_nalla,60
TT007,T007,vasai_road,2026-08-17T08:53:00+00:00,2026-08-17T08:54:00+00:00,vasai_p4,t_vasai_nalla,60
TT008,T008,vasai_road,2026-08-17T08:48:00+00:00,2026-08-17T08:50:00+00:00,vasai_p5,t_vasai_nalla,120
TT009,T009,vasai_road,2026-08-17T09:04:00+00:00,2026-08-17T09:06:00+00:00,vasai_p5,t_vasai_nalla,120
TT010,T010,vasai_road,2026-08-17T08:05:00+00:00,2026-08-17T08:07:00+00:00,vasai_p6,t_vasai_diva,120
TT011,T011,vasai_road,2026-08-17T09:10:00+00:00,2026-08-17T09:12:00+00:00,vasai_p7,t_diva_vasai,120
TT012,T012,vasai_road,2026-08-17T08:25:00+00:00,2026-08-17T08:30:00+00:00,,t_vasai_yard,300
TT013,T013,vasai_road,2026-08-17T09:35:00+00:00,2026-08-17T09:40:00+00:00,,t_loop,300
TT014,T014,vasai_road,2026-08-17T09:20:00+00:00,2026-08-17T09:21:00+00:00,vasai_p2,t_vasai_nalla,60
TT015,T015,vasai_road,2026-08-17T09:27:00+00:00,2026-08-17T09:28:00+00:00,vasai_p3,t_bhayandar_vasai,60
TT016,T016,vasai_road,2026-08-17T09:25:00+00:00,2026-08-17T09:26:00+00:00,vasai_p4,t_vasai_nalla,60
TT017,T017,vasai_road,2026-08-17T09:32:00+00:00,2026-08-17T09:34:00+00:00,vasai_p5,t_vasai_nalla,120
TT018,T018,vasai_road,2026-08-17T09:43:00+00:00,2026-08-17T09:44:00+00:00,vasai_p2,t_vasai_nalla,60
TT019,T019,vasai_road,2026-08-17T09:15:00+00:00,2026-08-17T09:17:00+00:00,vasai_p6,t_vasai_diva,120
TT020,T020,vasai_road,2026-08-17T09:55:00+00:00,2026-08-17T10:00:00+00:00,,t_vasai_yard,300
