edge_id,from_node,to_node,length_m,nominal_speed_kmph,direction,track_type,is_electrified,capacity
t_mmct_dadar,mumbai_central,dadar,4200,70,northbound,main_line,true,2
t_cg_dadar,churchgate,dadar,8500,60,southbound,slow,true,2
t_dadar_bandra,dadar,bandra,7600,70,southbound,slow,true,2
t_bandra_andheri,bandra,andheri,9500,80,southbound,slow,true,2
t_andheri_borivali,andheri,borivali,14500,90,southbound,slow,true,2
t_borivali_dahisar,borivali,dahisar,4200,90,southbound,slow,true,2
t_dahisar_mira,dahisar,mira_road,5000,90,southbound,slow,true,2
t_mira_bhayandar,mira_road,bhayandar,4200,90,southbound,slow,true,2
t_bhayandar_vasai,bhayandar,vasai_road,8500,90,southbound,slow,true,2
t_vasai_nalla,vasai_road,nalla_sopara,5000,100,northbound,slow,true,2
t_nalla_virar,nalla_sopara,virar,6500,100,northbound,slow,true,2
t_vasai_yard,vasai_road,freight_yard_north,6500,50,northbound,freight_loop,true,1
t_yard_virar,freight_yard_north,virar,4500,50,northbound,freight_loop,true,1
t_vasai_diva,vasai_road,vasai_diva_junction,3200,50,eastbound,main_line,true,2
t_diva_vasai,vasai_diva_junction,vasai_road,3200,50,westbound,main_line,true,2
t_diva,vasai_diva_junction,diva,32000,80,eastbound,main_line,true,2
t_platform1,platform_1,vasai_road,300,25,terminating,platform,true,1
t_platform2,vasai_road,platform_2,300,25,slow_up,platform,true,1
t_platform3,platform_3,vasai_road,300,25,slow_down,platform,true,1
t_platform4,vasai_road,platform_4,300,40,fast_up,platform,true,1
t_platform5,platform_5,vasai_road,300,40,fast_down,platform,true,1
t_loop,vasai_road,loop_freight,500,40,bypass,freight_loop,true,1
t_loop_exit,loop_freight,vasai_diva_junction,400,40,eastbound,freight_loop,true,1
t_platform6,vasai_diva_junction,platform_6,300,40,southbound,platform,true,1
t_platform7,platform_7,vasai_diva_junction,300,40,southbound,platform,true,1
